Iteration 74, D_loss = 0.0000,G_loss = 20.9258,train acc = 0.8241, train f1 = 0.0063, test acc = 0.8368, test f1 = 0.0004, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 75, D_loss = 0.0000,G_loss = 20.9915,train acc = 0.8241, train f1 = 0.0063, test acc = 0.8333, test f1 = 0.0004, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 76, D_loss = 0.0000,G_loss = 21.0558,train acc = 0.8254, train f1 = 0.0062, test acc = 0.8333, test f1 = 0.0004, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 77, D_loss = 0.0000,G_loss = 21.1316,train acc = 0.8223, train f1 = 0.0061, test acc = 0.8299, test f1 = 0.0004, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 78, D_loss = 0.0000,G_loss = 21.1487,train acc = 0.8205, train f1 = 0.0060, test acc = 0.8333, test f1 = 0.0004, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 79, D_loss = 0.0000,G_loss = 21.2058,train acc = 0.8229, train f1 = 0.0060, test acc = 0.8333, test f1 = 0.0004, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 80, D_loss = 0.0000,G_loss = 21.2183,train acc = 0.8223, train f1 = 0.0059, test acc = 0.8333, test f1 = 0.0004, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 81, D_loss = 0.4478,G_loss = 11.8570,train acc = 0.8615, train f1 = 0.0060, test acc = 0.8333, test f1 = 0.0004, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 82, D_loss = 0.0299,G_loss = 10.0853,train acc = 0.8241, train f1 = 0.0059, test acc = 0.8438, test f1 = 0.0006, best acc = 0.8819, best f1 = 0.0007, lr = 0.00020000 
Iteration 83, D_loss = 0.0051,G_loss = 11.3044,train acc = 0.8272, train f1 = 0.0059, test acc = 0.8646, test f1 = 0.0043, best acc = 0.8819, best f1 = 0.0043, lr = 0.00020000 
Iteration 84, D_loss = 0.0368,G_loss = 11.9077,train acc = 0.8266, train f1 = 0.0128, test acc = 0.8403, test f1 = 0.0113, best acc = 0.8819, best f1 = 0.0113, lr = 0.00020000 
Iteration 85, D_loss = 0.0176,G_loss = 13.6748,train acc = 0.8211, train f1 = 0.0162, test acc = 0.8333, test f1 = 0.0115, best acc = 0.8819, best f1 = 0.0115, lr = 0.00020000 
Iteration 86, D_loss = 0.0056,G_loss = 14.6566,train acc = 0.8309, train f1 = 0.0167, test acc = 0.8368, test f1 = 0.0172, best acc = 0.8819, best f1 = 0.0172, lr = 0.00020000 
Iteration 87, D_loss = 0.0093,G_loss = 16.0185,train acc = 0.8058, train f1 = 0.0171, test acc = 0.8681, test f1 = 0.0170, best acc = 0.8819, best f1 = 0.0172, lr = 0.00020000 
Iteration 88, D_loss = 0.0007,G_loss = 17.0789,train acc = 0.8045, train f1 = 0.0171, test acc = 0.8194, test f1 = 0.0171, best acc = 0.8819, best f1 = 0.0172, lr = 0.00020000 
Iteration 89, D_loss = 0.0155,G_loss = 16.1292,train acc = 0.8168, train f1 = 0.0173, test acc = 0.8264, test f1 = 0.0169, best acc = 0.8819, best f1 = 0.0172, lr = 0.00020000 
Iteration 90, D_loss = 0.0033,G_loss = 15.6255,train acc = 0.8303, train f1 = 0.0194, test acc = 0.8333, test f1 = 0.0189, best acc = 0.8819, best f1 = 0.0189, lr = 0.00020000 
Iteration 91, D_loss = 0.0025,G_loss = 15.9181,train acc = 0.8235, train f1 = 0.0214, test acc = 0.8646, test f1 = 0.0210, best acc = 0.8819, best f1 = 0.0210, lr = 0.00020000 
Iteration 92, D_loss = 0.0008,G_loss = 15.8958,train acc = 0.8272, train f1 = 0.0223, test acc = 0.8160, test f1 = 0.0218, best acc = 0.8819, best f1 = 0.0218, lr = 0.00020000 
Iteration 93, D_loss = 0.0007,G_loss = 16.5503,train acc = 0.8211, train f1 = 0.0230, test acc = 0.8438, test f1 = 0.0219, best acc = 0.8819, best f1 = 0.0219, lr = 0.00020000 
Iteration 94, D_loss = 0.0004,G_loss = 17.2150,train acc = 0.8180, train f1 = 0.0237, test acc = 0.8681, test f1 = 0.0225, best acc = 0.8819, best f1 = 0.0225, lr = 0.00020000 
Iteration 95, D_loss = 0.0005,G_loss = 17.5708,train acc = 0.7953, train f1 = 0.0242, test acc = 0.8056, test f1 = 0.0231, best acc = 0.8819, best f1 = 0.0231, lr = 0.00020000 
Iteration 96, D_loss = 0.0398,G_loss = 16.9397,train acc = 0.8168, train f1 = 0.0245, test acc = 0.8194, test f1 = 0.0230, best acc = 0.8819, best f1 = 0.0231, lr = 0.00020000 
Iteration 97, D_loss = 0.0014,G_loss = 13.8195,train acc = 0.8113, train f1 = 0.0248, test acc = 0.8333, test f1 = 0.0234, best acc = 0.8819, best f1 = 0.0234, lr = 0.00020000 
Iteration 98, D_loss = 0.0007,G_loss = 14.8146,train acc = 0.8186, train f1 = 0.0249, test acc = 0.8264, test f1 = 0.0239, best acc = 0.8819, best f1 = 0.0239, lr = 0.00020000 
Iteration 99, D_loss = 0.0023,G_loss = 15.0006,train acc = 0.8162, train f1 = 0.0250, test acc = 0.8403, test f1 = 0.0238, best acc = 0.8819, best f1 = 0.0239, lr = 0.00020000 
Iteration 100, D_loss = 0.0005,G_loss = 15.8822,train acc = 0.8217, train f1 = 0.0251, test acc = 0.8438, test f1 = 0.0245, best acc = 0.8819, best f1 = 0.0245, lr = 0.00020000 
Iteration 101, D_loss = 0.0003,G_loss = 16.4958,train acc = 0.8290, train f1 = 0.0253, test acc = 0.8299, test f1 = 0.0243, best acc = 0.8819, best f1 = 0.0245, lr = 0.00020000 
Iteration 102, D_loss = 0.0006,G_loss = 17.0755,train acc = 0.8241, train f1 = 0.0255, test acc = 0.8646, test f1 = 0.0242, best acc = 0.8819, best f1 = 0.0245, lr = 0.00020000 
Iteration 103, D_loss = 0.0004,G_loss = 17.6637,train acc = 0.8223, train f1 = 0.0255, test acc = 0.8368, test f1 = 0.0243, best acc = 0.8819, best f1 = 0.0245, lr = 0.00020000 
Iteration 104, D_loss = 0.0006,G_loss = 18.3430,train acc = 0.8192, train f1 = 0.0255, test acc = 0.8160, test f1 = 0.0242, best acc = 0.8819, best f1 = 0.0245, lr = 0.00020000 
Iteration 105, D_loss = 0.0007,G_loss = 18.5792,train acc = 0.8241, train f1 = 0.0256, test acc = 0.8299, test f1 = 0.0247, best acc = 0.8819, best f1 = 0.0247, lr = 0.00020000 
Iteration 106, D_loss = 0.0015,G_loss = 18.0327,train acc = 0.8284, train f1 = 0.0257, test acc = 0.8368, test f1 = 0.0249, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
Iteration 107, D_loss = 0.0003,G_loss = 18.0187,train acc = 0.8278, train f1 = 0.0257, test acc = 0.8438, test f1 = 0.0248, best acc = 0.8819, best f1 = 0.0249, lr = 0.00020000 
